Experiment,Train Acc. %,Test Acc. %,Train Loss,Test Loss
Dropout-0.0+Sigmoid+SGD,68.484,54.21,0.897,1.339
Dropout-0.0+Sigmoid+SGD-0.9,99.98,71.34,0.021,1.225
Dropout-0.0+Sigmoid+Adam,63.304,64.35,1.028,1.035
Dropout-0.0+ReLu+SGD,98.82,74.71,0.101,0.848
Dropout-0.0+ReLu+SGD-0.9,100,76.47,0.001,1.273
Dropout-0.0+ReLu+Adam,100,75.61,0,2.272
Dropout-0.0+Leaky-ReLu+SGD,97.778,72.59,0.13,0.915
Dropout-0.0+Leaky-ReLu+SGD-0.9,100,76.62,0.001,1.289
Dropout-0.0+Leaky-ReLu+Adam,100,75.68,0,2.273
Dropout-0.25+Sigmoid+SGD,65.584,60.04,0.975,1.127
Dropout-0.25+Sigmoid+SGD-0.9,85.626,59.37,0.402,1.902
Dropout-0.25+Sigmoid+Adam,29.832,30.01,6.662,5.432
Dropout-0.25+ReLu+SGD,87.47,69.05,0.361,0.992
Dropout-0.25+ReLu+SGD-0.9,99.032,79.21,0.031,1.118
Dropout-0.25+ReLu+Adam,97.19,76.93,0.082,1.299
Dropout-0.25+Leaky-ReLu+SGD,87.35,72.35,0.368,0.875
Dropout-0.25+Leaky-ReLu+SGD-0.9,98.914,77.11,0.033,1.308
Dropout-0.25+Leaky-ReLu+Adam,97.366,75.7,0.077,1.405
Dropout-0.5+Sigmoid+SGD,61.598,55.51,1.076,1.228
Dropout-0.5+Sigmoid+SGD-0.9,80.472,36.07,0.543,2.775
Dropout-0.5+Sigmoid+Adam,90.658,76.13,0.267,1.141
Dropout-0.5+ReLu+SGD,81.618,74.5,0.523,0.744
Dropout-0.5+ReLu+SGD-0.9,96.342,79.36,0.103,0.884
Dropout-0.5+ReLu+Adam,93.942,78.4,0.17,0.903
Dropout-0.5+Leaky-ReLu+SGD,82.266,74.96,0.506,0.737
Dropout-0.5+Leaky-ReLu+SGD-0.9,96.546,79.89,0.098,0.835
Dropout-0.5+Leaky-ReLu+Adam,92.862,77.85,0.198,0.83
